X,total.reads,mapped.reads,rare.factor
T0_Avirome,304410258,142175853,0.327578369583064
T0_Bvirome,266124862,107923833,0.37470462267445
T0_Cvirome,225473056,108696321,0.442262227554143
T1H218OP_Avirome,315561632,109708499,0.316002345937924
T1H218OP_Bvirome,293293568,93804661,0.33999455453452
T1H218OP_Cvirome,275453558,115394156,0.362014623169253
T1H218O_Avirome,275615670,95099927,0.361801692915356
T1H218O_Bvirome,273169848,91294254,0.365041078765033
T1H218O_Cvirome,362621586,95685088,0.274992498653955
T1H2OP_Avirome,293382012,91650417,0.339892058549247
T1H2OP_Bvirome,304074680,97981945,0.327939886346341
T1H2OP_Cvirome,283511768,91408791,0.351725138972009
T1H2O_Avirome,256923806,95892467,0.388123691426243
T1H2O_Bvirome,243507446,87654196,0.409507871886595
T1H2O_Cvirome,219330488,75226891,0.454648220178127
T2H218OP_Avirome,318333550,120053719,0.313250727106835
T2H218OP_Bvirome,491168274,228939209,0.203022510366783
T2H218OP_Cvirome,560334338,221189423,0.177961993826621
T2H218O_Avirome,476280530,189058108,0.20936865926474
T2H218O_Bvirome,280919962,111642449,0.354970203221087
T2H218O_Cvirome,753177970,273374889,0.132396618026414
T2H2OP_Avirome,195985032,62456618,0.508805264271406
T2H2OP_Bvirome,274729864,93598262,0.362968242870022
T2H2OP_Cvirome,513965940,188340778,0.1940171677524
T2H2O_Avirome,111869022,43118843,0.891383639699648
T2H2O_Bvirome,340985556,114139190,0.29244117308007
T2H2O_Cvirome,99718216,33029742,1
T3H218OP_Avirome,115799502,40512912,0.861128193798277
T3H218OP_Bvirome,153550138,53871719,0.649417951027827
T3H218OP_Cvirome,148497884,72256908,0.67151270653796
T3H218O_Bvirome,164351234,48926223,0.60673846841941
T3H218O_Cvirome,286125996,103516205,0.348511555727359
T3H2OP_Avirome,328472470,127031784,0.303581654803521
T3H2OP_Bvirome,146801818,63128125,0.679270988319777
T3H2OP_Cvirome,261819218,110851551,0.380866678778332
T3H2O_Avirome,388549094,146152762,0.256642513236693
T3H2O_Bvirome,307648770,121018456,0.324130065593956
T3H2O_Cvirome,255139054,99315967,0.390838699276513
