"","total.reads","total.bp","metat_mapped","pct_metat_mapped"
"T0.R.Dry.soil.A",90075668,11834008226,6761,0.00750591158535732
"T0.R.Dry.soil.B",83286544,10941212467,5210,0.0062555122949993
"T0.R.Dry.soil.C",111372108,14664635339,5772,0.00518262615627245
"T1.R.H218O.A",106683530,14115593265,31377,0.0294112877592258
"T1.R.H218O.B",101790542,13452858270,18670,0.0183415861956998
"T1.R.H218O.C",91236802,12178593185,25512,0.0279624005234204
"T1.R.H218O.P.A",115902138,15384425920,46357,0.0399966737455697
"T1.R.H218O.P.B",92006158,12090022389,32952,0.0358149940355079
"T1.R.H218O.P.C",74041670,9860805458,25130,0.0339403473746608
"T1.R.H2O.A",107698168,14184082132,32663,0.0303282781931815
"T1.R.H2O.B",90424916,12039113672,24618,0.0272247972008069
"T1.R.H2O.C",97036426,12982099928,27180,0.0280101000422254
"T1.R.H2O.P.A",86320484,11447978942,40001,0.0463401016148149
"T1.R.H2O.P.B",106039512,13909060827,48160,0.0454170328509245
"T1.R.H2O.P.C",99929976,13055838131,40125,0.040153116818521
"T2.R.H218O.A",85178446,11254199450,24510,0.0287748851393696
"T2.R.H218O.B",99956016,13305064488,19558,0.0195666061760605
"T2.R.H218O.C",107973762,14219168370,16411,0.0151990628982623
"T2.R.H218O.P.A",92573772,11948185427,25488,0.0275326363497428
"T2.R.H218O.P.B",95487804,12402103809,44972,0.0470971140984664
"T2.R.H218O.P.C",101830210,13342381720,48382,0.0475124228851143
"T2.R.H2O.A",94829522,12558329644,21681,0.0228631332761542
"T2.R.H2O.B",109978336,14648191171,26075,0.0237092148766463
"T2.R.H2O.C",93642202,12386425605,21188,0.0226265503666819
"T2.R.H2O.P.A",91133412,12214967954,34459,0.0378115986703099
"T2.R.H2O.P.B",69158702,9160955343,23910,0.0345726558025916
"T2.R.H2O.P.C",99258320,13224017181,33479,0.0337291624520746
"T3.R.H218O.A",97989096,12980889592,21761,0.0222075729732214
"T3.R.H218O.B",89795806,11874713049,19443,0.0216524589132815
"T3.R.H218O.C",86918210,11514948033,15044,0.0173082257446397
"T3.R.H218O.P.A",104393428,13788514748,42017,0.0402487022458923
"T3.R.H218O.P.B",74630172,9562257640,19598,0.0262601565490161
"T3.R.H218O.P.C",88319824,11445709125,34315,0.0388531118449693
"T3.R.H2O.A",109373040,14738888786,23626,0.021601301381035
"T3.R.H2O.B",116823458,15515699193,27266,0.0233394906012798
"T3.R.H2O.C",100816068,13326533521,22511,0.02232878195567
"T3.R.H2O.P.A",82176982,10530381322,34918,0.0424912173094894
"T3.R.H2O.P.B",89576374,11618239496,41069,0.0458480268469005
"T3.R.H2O.P.C",84630266,10884593130,22789,0.0269277187430795
