"file","total.reads","total.bp"
"T0_A",304410258,42237564073
"T0_B",266124862,36085962026
"T0_C",225473056,31598244675
"T1H218OP_A",315561632,44032669996
"T1H218OP_B",293293568,40921437104
"T1H218OP_C",275453558,38735184505
"T1H218O_A",275615670,38665154320
"T1H218O_B",273169848,38291168651
"T1H218O_C",362621586,49956240945
"T1H2OP_A",293382012,41212253271
"T1H2OP_B",304074680,42799734113
"T1H2OP_C",283511768,39927923982
"T1H2O_A",256923806,36157777080
"T1H2O_B",243507446,34134554582
"T1H2O_C",219330488,30838888302
"T2H218OP_A",318333550,44818211809
"T2H218OP_B",491168274,69189517330
"T2H218OP_C",560334338,78870066348
"T2H218O_A",476280530,66991209093
"T2H218O_B",280919962,39559221412
"T2H218O_C",753177970,106029878816
"T2H2OP_A",195985032,27568755068
"T2H2OP_B",274729864,38624071796
"T2H2OP_C",513965940,72036864188
"T2H2O_A",111869022,15744360772
"T2H2O_B",340985556,47999948962
"T2H2O_C",99718216,14030710495
"T3H218OP_A",115799502,16213452601
"T3H218OP_B",153550138,21422351730
"T3H218OP_C",148497884,20818707281
"T3H218O_B",164351234,23043477976
"T3H218O_C",286125996,40254030224
"T3H2OP_A",328472470,46228093292
"T3H2OP_B",146801818,20633589566
"T3H2OP_C",261819218,36813860271
"T3H2O_A",388549094,54733952539
"T3H2O_B",307648770,43318266113
"T3H2O_C",255139054,35939148161
